Epoch,Text_id_setup_0502,Text_id_setup_0503,Text_id_setup_0505
1626089745,31.3866,59.68,100349
1626094725,31.8677,60.9139,100396
1626101545,32.1325,60.9476,100543
1626105145,31.204,62.3848,100614
1626108745,30.8331,61.5656,100608
1626109200,30.7816,60.95,100574
1626112800,30.8783,60.95,100531
1626116400,30.8848,60.95,100445
1626120000,30.7261,61.3143,100382
1626123600,30.6299,62.96,100349
1626127200,30.3594,64.9253,100379
1626130800,30.3992,64.0881,100420
1626134400,30.2202,64.7995,100472
1626138000,30.6533,64.2588,100505
1626141600,31.4362,62.0872,100513
1626145200,31.856,60.6158,100531
1626148800,31.9525,58.92,100503
1626152400,32.0397,58.1461,100444
1626156000,32.386,54.4481,100361
1626159600,32.1757,54.83,100233
1626163200,32.8211,52.3601,100135
1626166800,32.5938,54.74,100081
1626170400,32.5517,55.8571,100082
1626174000,32.3414,58.1712,100148
1626177600,32.0733,60.4442,100232
1626181200,31.8808,60.82,100330
1626184800,31.6443,60.82,100419
1626188400,31.6645,60.82,100492
1626192000,31.4573,62.3984,100561
1626195601,31.1076,64.85,100515
1626199201,31.2029,64.5024,100470
1626202801,30.8542,63.5309,100385
1626206401,30.3459,65.5912,100342
1626210001,29.8937,64.8584,100367
1626213601,29.8233,62.84,100404
1626217202,30.1325,62.84,100421
1626220801,30.2003,64.8193,100359
1626224401,30.4971,64.87,100300
1626228001,30.6751,64.87,100334
1626231601,31.1226,63.9486,100381
1626235201,31.7093,59.8492,100369
1626238801,32.0432,57.5882,100324
1626242401,32.2212,56.81,100256
1626246001,32.4282,56.8812,100162
1626249601,31.8935,58.4034,100089
1626253201,32.3135,56.8,100072
1626256801,32.115,57.0511,100087
1626260401,31.8215,58.75,100165
1626264001,31.8313,59.5583,100244
1626267601,31.7826,61.4991,100325
1626271201,31.3563,62.77,100383
1626274802,30.3766,62.77,100475
1626278401,30.1404,62.77,100505
1626282000,30.5349,62.77,100490
1626285600,30.4552,62.77,100447
1626289200,30.4454,62.77,100427
1626292800,30.5402,62.77,100399
1626296400,30.543,62.77,100395
1626300000,30.5063,62.77,100342
1626303600,30.4191,62.795,100396
1626310553,30.2206,64.88,100477
1626314153,30.5146,64.3566,100500
1626317753,30.9071,62.4145,100515
1626321353,31.4818,60.86,100511
1626324953,31.7625,59.822,100477
1626328553,32.0974,56.82,100372
1626332153,32.3078,56.82,100277
1626335753,32.6238,55.2346,100200
1626339353,32.0369,57.8164,100192
1626342953,30.4525,64.89,100335
1626346553,30.6827,64.89,100424
