Epoch,Text_id_setup_0502,Text_id_setup_0503,Text_id_setup_0505,Text_id_setup_0504,Text_id_setup_0517
1616770637,30.46,65.0295,100526,N.A,500
1616770667,30.53,64.9,100521,N.A,500
1616770697,30.53,64.9,100521,N.A,500
1616770727,30.53,64.9,100521,N.A,500
1616770757,30.53,64.9,100521,N.A,500
1616770787,30.53,64.9,100521,N.A,500
1616770817,30.53,64.9,100521,N.A,500
1616770847,30.53,64.9,100521,N.A,500
1616770877,30.53,64.9,100521,N.A,500
1616770907,30.53,64.9,100521,N.A,500
1616770937,30.53,64.9,100521,25,500
1616770967,30.53,64.9,100521,25,500
1616770997,30.53,64.9,100521,25,500
1616771027,30.53,64.9,100521,25,501.562
1616771057,30.53,64.9,100521,25,501.193
1616771087,30.66,64.996,100519,N.A,500
1616771117,30.65,65.003,100519,N.A,500
1616771147,30.65,65.003,100519,N.A,500
1616771177,30.65,65.003,100519,N.A,500
1616771207,30.65,65.003,100519,N.A,500
1616771237,30.65,65.003,100519,N.A,500
1616771267,30.65,65.003,100519,N.A,500
1616771297,30.65,65.003,100519,N.A,500
1616771327,30.65,65.003,100519,N.A,500
1616771357,30.65,65.003,100519,N.A,500
1616771387,30.65,65.003,100519,25,500
1616771417,30.65,65.003,100519,25,501.59
1616771447,30.65,65.003,100519,25,501.138
1616771477,30.65,65.003,100519,25,500.877
1616771507,30.65,65.003,100519,25,500
1616771537,30.65,65.003,100519,25,500
1616771567,30.65,65.003,100519,25,501.082
1616771597,30.65,65.003,100519,25,502.648
1616771627,30.65,65.003,100519,25,503.859
1616771657,30.65,65.003,100519,25,501.893
1616771687,30.65,65.003,100519,25,501.444
1616771717,30.65,65.003,100519,25,500
1616771747,30.65,65.003,100519,25,501.813
1616771777,30.65,65.003,100519,25,500.695
1616771807,30.65,65.003,100519,25,500
1616771837,30.65,65.003,100519,25,500.164
1616771867,30.65,65.003,100519,25,502.216
1616771897,30.65,65.003,100519,25,500
1616771927,30.65,65.003,100519,25,500
1616771957,30.65,65.003,100519,25,501.615
1616771987,30.65,65.003,100519,25,502.67
1616772017,30.65,65.003,100519,25,502.044
1616772047,30.65,65.003,100519,25,502.823
1616772077,30.65,65.003,100519,25,500
1616772107,30.65,65.003,100519,25,503.877
1616772137,30.65,65.003,100519,25,501.895
1616772167,30.65,65.003,100519,25,501.271
1616772197,30.65,65.003,100519,25,500.5
1616772227,30.65,65.003,100519,25,501.069
1616772257,30.65,65.003,100519,25,501.054
1616772287,30.65,65.003,100519,25,500.554
1616772317,30.65,65.003,100519,25,500.536
1616772347,30.65,65.003,100519,25,500.391
1616772377,30.65,65.003,100519,25,502.697
1616772407,30.87,65.176,100524,N.A,500
1616772437,30.88,65.183,100524,N.A,500
1616772467,30.88,65.183,100524,N.A,500
1616772497,30.88,65.183,100524,N.A,500
1616772527,30.88,65.183,100524,N.A,500
1616772557,30.88,65.183,100524,N.A,500
1616772587,30.6717,65.183,100524,N.A,500
1616772617,30.6717,65.183,100524,N.A,500
1616772647,30.6717,65.183,100524,N.A,500
1616772677,30.6717,65.183,100524,N.A,500
1616772707,30.6717,65.183,100518,25.6957,500.608
1616772737,30.6717,65.183,100513,25.6957,501.165
1616772767,30.6717,65.183,100513,25.6957,501.355
1616772797,30.6717,65.183,100513,25.6957,500
1616772827,30.6717,65.183,100513,25.6957,502.072
1616772857,30.6717,65.183,100513,25.6957,505.876
1616772887,30.6717,65.183,100513,25.6957,504.495
1616772917,30.6717,65.183,100513,25.6957,502.863
1616772947,30.6717,65.183,100513,25.6957,501.716
1616772977,30.6717,65.183,100513,25.6957,504.625
1616773007,30.6717,65.183,100513,25.6957,502.292
1616773037,30.6717,65.183,100513,25.6957,505.434
1616773067,30.6717,65.183,100513,25.6957,503.762
1616773097,30.6717,65.183,100513,25.6957,503.771
1616773127,30.6717,65.183,100513,25.6957,500.731
1616773157,30.6317,65.357,100507,N.A,500
1616773187,30.78,65.337,100503,N.A,500
1616773217,30.78,65.337,100503,N.A,500
1616773247,30.78,65.337,100503,N.A,500
1616773277,30.78,65.337,100503,N.A,500
1616773307,30.78,65.337,100503,N.A,500
1616773337,30.78,65.337,100503,N.A,500
1616773367,30.78,65.337,100503,N.A,500
1616773397,30.78,65.337,100503,N.A,500
1616773427,30.78,65.337,100503,N.A,500
1616773457,30.78,65.337,100503,25,500
1616773487,30.78,65.337,100503,25,503.868
1616773517,30.78,65.337,100503,25,504.612
1616773547,30.75,65.407,100495,N.A,500
1616773577,30.75,65.387,100493,N.A,500
1616773607,30.75,65.387,100493,N.A,500
1616773637,30.75,65.387,100493,N.A,500
1616773667,30.75,65.387,100493,N.A,500
1616773697,30.75,65.387,100493,N.A,500
1616773727,30.75,65.387,100493,N.A,500
1616773757,30.75,65.387,100493,N.A,500
1616773787,30.75,65.387,100493,N.A,500
1616773817,30.75,65.387,100499,N.A,500
1616773847,30.75,65.387,100505,25,500
1616773877,30.75,65.387,100505,25,500.259
1616773907,30.75,65.387,100505,25,500.292
1616773937,30.75,65.387,100505,25,502.236
